question_text,question_type,topic,difficulty,explanation,option_a,option_b,option_c,option_d,correct_answers
Laut Vorlesung scheitern 80 Prozent aller Projekte vollständig oder werden nicht realisiert.,true_false,Skript 1,medium,"Das ist falsch; 80 Prozent erreichen nicht die ursprünglichen Ziele, während 30 Prozent scheitern oder nicht realisiert werden.",Richtig,Falsch,,,B
Zu hohe Anforderungen werden in der Vorlesung als möglicher Grund für Projektscheitern genannt.,true_false,Skript 1,easy,Die Folie zu Scheitergründen nennt zu hohe Anforderungen ausdrücklich.,Richtig,Falsch,,,A
Mangelndes Stakeholdermanagement ist laut Vorlesung ein möglicher Grund für Projektscheitern.,true_false,Skript 1,easy,Mangelndes Stakeholdermanagement wird ausdrücklich als Scheitergrund genannt.,Richtig,Falsch,,,A
Fehlende Unterstützung durch das Top-Management wird in der Vorlesung nicht als Projektrisiko betrachtet.,true_false,Skript 1,medium,"Das ist falsch, da fehlendes Commitment durch das Top-Management als Scheitergrund genannt wird.",Richtig,Falsch,,,B
Schlechte Kommunikation kann laut Vorlesung zum Scheitern von Projekten beitragen.,true_false,Skript 1,easy,Schlechte Kommunikation wird direkt als Scheitergrund aufgeführt.,Richtig,Falsch,,,A
"Unklare Ziele und Anforderungen sind laut Vorlesung unproblematisch, solange ein Projektteam motiviert ist.",true_false,Skript 1,medium,"Das ist falsch, weil unklare Ziele und Anforderungen als Scheitergrund genannt werden.",Richtig,Falsch,,,B
"Die SMART-orientierte Darstellung in der Vorlesung umfasst spezifisch, messbar, abgestimmt, realistisch und terminiert.",true_false,Skript 1,easy,Die Vorlesung zeigt genau diese fünf Begriffe als Erfolgsfaktoren für Zieldefinitionen.,Richtig,Falsch,,,A
Das A in der dargestellten SMART-Logik steht in der Vorlesung für 'agil'.,true_false,Skript 1,medium,Das ist falsch; in der Vorlesung steht A für abgestimmt.,Richtig,Falsch,,,B
"Messbare Ziele erleichtern die Kontrolle, ob ein Projekt seine Ziele erreicht.",true_false,Skript 1,easy,"Messbarkeit ist wichtig, damit Fortschritt und Zielerreichung objektiver überprüft werden können.",Richtig,Falsch,,,A
Das klassische Wasserfallmodell wird in der Vorlesung als Beispiel für klassisches Projektmanagement genannt.,true_false,Skript 1,easy,Die Vorlesung ordnet Wasserfall dem klassischen PM zu.,Richtig,Falsch,,,A
"Das klassische PM-Modell besteht laut Vorlesung in der Regel aus Start, Planung, Durchführung und Abschluss.",true_false,Skript 1,easy,Diese vier Phasen werden auf der Folie zum klassischen Modell genannt.,Richtig,Falsch,,,A
"Analyse, Design, Entwicklung, Test und Betrieb werden in der Vorlesung als Beispielphasen eines Softwareprojekts dargestellt.",true_false,Skript 1,medium,Die Folie zum klassischen Softwareprojekt zeigt diese Abfolge.,Richtig,Falsch,,,A
Scrum wird in der Vorlesung als typischer Bezugspunkt für agiles Projektmanagement genannt.,true_false,Skript 1,easy,"Die Vorlesung sagt, dass agiles PM sich meist auf das Scrum-Modell bezieht.",Richtig,Falsch,,,A
Agiles Projektmanagement arbeitet laut Vorlesung inkrementell in kleinen aufeinanderfolgenden Schritten.,true_false,Skript 1,medium,Die Vorlesung beschreibt Agilität ausdrücklich als inkrementell.,Richtig,Falsch,,,A
Agiles Projektmanagement arbeitet laut Vorlesung iterativ in Reflexions- und Wiederholungsschleifen.,true_false,Skript 1,medium,Die Vorlesung nennt iteratives Arbeiten mit Reflexions- und Wiederholungsschleifen.,Richtig,Falsch,,,A
Im agilen Projektmanagement steht laut Vorlesung der Kunde im Mittelpunkt.,true_false,Skript 1,easy,Die Folie zum agilen PM nennt Kundenorientierung ausdrücklich.,Richtig,Falsch,,,A
Ein Sprint Review gehört zu den in der Vorlesung dargestellten Scrum-Elementen.,true_false,Skript 1,easy,Die Scrum-Grafik enthält unter anderem Sprint Review.,Richtig,Falsch,,,A
Das Produktinkrement ist im Scrum-Ablauf der Vorlesung kein relevantes Element.,true_false,Skript 1,medium,"Das ist falsch, weil das Produktinkrement in der Scrum-Grafik dargestellt wird.",Richtig,Falsch,,,B
Hybrides Projektmanagement kombiniert laut Vorlesung klassische Prinzipien mit agilen Elementen wie Iterationen beziehungsweise Sprints.,true_false,Skript 1,medium,"Die Folie beschreibt, dass Methoden des klassischen PM in Iterationen aufgeteilt und agile Methoden eingebunden werden.",Richtig,Falsch,,,A
Hybride Projekte starten laut Vorlesung in der Regel mit einer Analysephase.,true_false,Skript 1,medium,Diese Aussage wird auf der Hybrid-Folie ausdrücklich genannt.,Richtig,Falsch,,,A
Im hybriden Vorgehen werden User-Stories für den nächsten Sprint laut Vorlesung während eines Sprints entwickelt.,true_false,Skript 1,hard,"Die Hybrid-Folie nennt, dass während eines Sprints User-Stories für den nächsten Sprint entwickelt werden.",Richtig,Falsch,,,A
Im hybriden Projektmanagement sollen Risiken laut Vorlesung erst am Ende des Projekts sichtbar werden.,true_false,Skript 1,medium,"Das ist falsch, denn Risiken sollen kleiner werden und nicht erst am Ende zutage treten.",Richtig,Falsch,,,B
Ein Statusmeeting wird in der Hybrid-Folie mit einem Review gleichgesetzt.,true_false,Skript 1,medium,Die Vorlesung formuliert Statusmeeting gleich Review.,Richtig,Falsch,,,A
"Im hybriden Vorgehen können nach Reviews Termine, Ressourcen oder Erwartungen angepasst werden.",true_false,Skript 1,medium,Die Hybrid-Folie nennt genau diese möglichen Anpassungen.,Richtig,Falsch,,,A
"Stuttgart 21 wird in der Vorlesung als Beispiel dafür verwendet, dass Großprojekte trotz Planung stark von Kosten- und Terminabweichungen betroffen sein können.",true_false,Skript 1,medium,Die Vorlesung stellt geplante Kosten und Termine den deutlich veränderten Ergebnisdaten gegenüber.,Richtig,Falsch,,,A
"Für Stuttgart 21 wurden laut Vorlesung ursprünglich Baukosten von circa 2,5 Milliarden Euro genannt.",true_false,Skript 1,easy,"Die Planungsfolie zu Stuttgart 21 nennt circa 2,5 Milliarden Euro geplante Baukosten.",Richtig,Falsch,,,A
Die Vorlesung nennt für Stuttgart 21 eine geplante Fertigstellung im Jahr 2021.,true_false,Skript 1,easy,Die Planungsdaten enthalten die geplante Fertigstellung 2021.,Richtig,Falsch,,,A
Die Vorlesung nennt für Stuttgart 21 Gesamtkosten von circa 11 Milliarden Euro mit steigender Tendenz.,true_false,Skript 1,medium,Die Ergebnisfolie nennt circa 11 Milliarden Euro mit Tendenz steigend.,Richtig,Falsch,,,A
"Stuttgart 21 zeigt laut Vorlesung, dass Bürgerbeteiligung und transparente Kommunikation bei Großprojekten bedeutungslos sind.",true_false,Skript 1,medium,"Das ist falsch, weil transparente Kommunikation und frühzeitige Einbindung der Bevölkerung als Learnings genannt werden.",Richtig,Falsch,,,B
Realistische Kosten- und Risikoabschätzung mit finanziellen Puffern ist ein Learning aus Stuttgart 21.,true_false,Skript 1,medium,Die Vorlesung nennt konservative Budgetplanung mit Pufferzonen ausdrücklich als Learning.,Richtig,Falsch,,,A
Klare Verantwortlichkeiten können laut Stuttgart-21-Learnings Verzögerungen und Mehrkosten reduzieren helfen.,true_false,Skript 1,hard,"Die Vorlesung betont klare Governance, weil unklare Zuständigkeiten zu Verzögerungen und Mehrkosten führen können.",Richtig,Falsch,,,A
Geologische und technische Machbarkeit sollten laut Stuttgart-21-Learnings erst nach Projektstart geprüft werden.,true_false,Skript 1,medium,"Das ist falsch, weil solche Risiken sorgfältig geprüft und in die Planung integriert werden sollen.",Richtig,Falsch,,,B
"Zu den Lernzielen der Vorlesung gehört, Unterschiede sowie Vor- und Nachteile unterschiedlicher Projektmanagementmethoden zu verstehen und anzuwenden.",true_false,Skript 1,easy,Dieses Lernziel wird in der Übersicht der Lernziele genannt.,Richtig,Falsch,,,A
Zu den Lernzielen gehört ausschließlich die Bedienung eines einzelnen Projektmanagementtools.,true_false,Skript 1,medium,"Das ist falsch; die Lernziele umfassen Projektcharakteristiken, Methoden, Phasen, Rollen und Tool-Landschaft.",Richtig,Falsch,,,B
Die Vorlesungsinhalte umfassen auch Projektorganisation und Führung in beziehungsweise von Projektteams.,true_false,Skript 1,easy,Beide Themen werden in der Inhaltsübersicht aufgeführt.,Richtig,Falsch,,,A
Folgende Aussagen beschreiben ein Projektportfolio im Sinne der Folien korrekt:,multiple_choice,Skript 2,medium,"Ein Portfolio bündelt Projekte mit Gemeinsamkeiten und wird koordiniert, um einen größeren Nutzen zu erzielen.",Es kann Projekte aus derselben Business Unit enthalten,Es kann Projekte aus demselben Ressourcen-Pool enthalten,"Es wird koordiniert, um Doppelarbeit zu vermeiden und Nutzen zu erhöhen",Es besteht zwingend aus nur einem einzelnen Projekt,A|B|C
Folgende Aussagen treffen auf ein Programm im Projektmanagement zu:,multiple_choice,Skript 2,medium,"Ein Programm bündelt Projekte, Sub-Projekte und Aktivitäten, um Benefits oder Synergien zu erzielen.",Es kann aus mehreren Projekten und Sub-Projekten bestehen,"Es wird koordiniert, um Synergien zu erreichen",Es kommt oft bei sehr großen Vorhaben vor,Es ist identisch mit einem einzelnen Arbeitspaket,A|B|C
Folgende Beispiele passen laut Folien typischerweise zu Programm-Kontexten:,multiple_choice,Skript 2,easy,"Programme kommen bei sehr großen Vorhaben vor, etwa in Luftfahrt, Automobilindustrie oder IT-Infrastruktur.",Luftfahrt-Branche,Automobilindustrie,IT-Infrastrukturprojekte großer Unternehmen,Ein einzelnes kleines Tagesgeschäft ohne Projektcharakter,A|B|C
Folgende Knowledge-Felder gehören zur PMBOK-orientierten Darstellung in den Folien:,multiple_choice,Skript 2,medium,"Die Grafik nennt unter anderem Scope, Time, Cost, Quality, Risk und Communications Management.",Scope Management,Time Management,Risk Management,Payroll Management,A|B|C
Folgende Soft Skills werden in den Folien als Anforderungen im Projektkontext genannt:,multiple_choice,Skript 2,easy,"Die Folie nennt unter anderem kommunikative Kompetenz, Konfliktfähigkeit, Flexibilität und vernetztes Denken.",Kommunikative Kompetenzen,Kooperation und Konfliktfähigkeit,Flexibilität beziehungsweise Agilität,Reine Einzelarbeit ohne Abstimmung,A|B|C
Folgende Phasen gehören zu den wichtigsten Projektphasen der Folien:,multiple_choice,Skript 2,easy,"Die Folie zeigt Vorbereitung, Planung, Durchführung und Abschluss als zentrale Phasen.",Vorbereitung,Planung,Durchführung,Abschluss,A|B|C|D
Folgende Aufgaben gehören zur Vorbereitungsphase eines Projekts:,multiple_choice,Skript 2,medium,"Zur Vorbereitungsphase gehören Projektentscheidung, Projektauftrag, Scope-Klärung und Projektorganisation.",Projektentscheidung und Projektauftrag herbeiführen,Ziel- beziehungsweise Scope-Klärung,Projektorganisation vorbereiten,Projektabschlussbericht nach Beendigung aller Tätigkeiten erstellen,A|B|C
Folgende Aufgaben sind in der Durchführungsphase besonders relevant:,multiple_choice,Skript 2,medium,"Die Durchführungsphase umfasst Steuerung, Controlling, Termin- und Kostenüberwachung sowie Dokumentation.",Steuerung der Projekttasks,Controlling von Terminen und Kosten beziehungsweise Budget,Dokumentation und Berichte,Erstmalige Definition des Projektauftrags nach Projektende,A|B|C
Folgende Aufgaben laufen phasenübergreifend im Projektmanagement:,multiple_choice,Skript 2,medium,"Führung, Kommunikation, externe Koordination und Meetings mit Dokumentation begleiten alle Projektphasen.",Führung des Projektteams,Kommunikation im Projektteam,Koordination und Kommunikation extern,Verzicht auf Dokumentation bis nach Abschluss,A|B|C
Folgende Inhalte gehören laut Folien zu den Tasks der Vorbereitungsphase:,multiple_choice,Skript 2,medium,"Die Vorbereitung umfasst Ziele, Grobplanung, Organisation, Verantwortlichkeiten, Stakeholder, Risiken und Kommunikation.",Projektziele klären,Stakeholder- beziehungsweise Umfeldanalyse durchführen,Risikomanagement vorbereiten,Ist-Kosten endgültig abrechnen,A|B|C
Folgende Aussagen beschreiben Projektstart als Ereignis und als Phase korrekt:,multiple_choice,Skript 2,hard,Projektstart kann als Entscheidungspunkt oder als eigene Phase bis zum Kickoff verstanden werden.,Als Ereignis kann er die Entscheidung eines Gremiums zur Projektdurchführung sein,Als Phase kann er eine festgelegte Dauer bis zum Kickoff-Meeting haben,Als Phase umfasst er vorbereitende Klärungen,Er ist immer ausschließlich die Abschlussabnahme beim Kunden,A|B|C
Folgende Fehler einer unprofessionellen Projektvorbereitung werden in den Folien genannt:,multiple_choice,Skript 2,medium,"Häufige Fehler sind unklare Ziele, fehlende Stakeholder-Einbindung, ungeklärte Zuständigkeiten und verdrängte Risiken.",Projektziele und Scope sind nicht sauber definiert,Stakeholder werden nicht einbezogen,Risiken werden ausgeblendet,Qualitätsmanagement wird konsequent und sauber eingerichtet,A|B|C
"Eine klare Zieldefinition beziehungsweise Scope-Klärung ist wichtig, weil:",multiple_choice,Skript 2,medium,"Sie schafft Planungsgrundlage, gemeinsames Verständnis, weniger Abstimmungsprobleme und ermöglicht Controlling.",Sie ist Basis für eine sichere Planungsgrundlage,Sie hilft beim Abstimmen der Projektziele zwischen Auftraggeber und Projekt,Sie ist Voraussetzung für effektives Projektcontrolling,Sie macht Kommunikation mit Stakeholdern grundsätzlich überflüssig,A|B|C
Folgende Aussagen zum Wirtschaftlichkeitsprinzip sind korrekt:,multiple_choice,Skript 2,hard,Das Wirtschaftlichkeitsprinzip zielt auf Minimal- oder Maximalprinzip und eine günstige Relation von Einsatz und Ergebnis.,Beim Minimalprinzip wird ein bestimmter Erfolg mit geringstmöglichem Mitteleinsatz angestrebt,Beim Maximalprinzip wird mit gegebenem Mitteleinsatz der größtmögliche Erfolg angestrebt,Projekte sollen nach einer günstigen Relation geplant werden,"Zeit, Kosten und Ressourcen sind für die Wirtschaftlichkeit irrelevant",A|B|C
Folgende Inhalte passen zur Machbarkeitsstudie beziehungsweise Wirtschaftlichkeitsprüfung:,multiple_choice,Skript 2,medium,"Machbarkeitsstudien und Wirtschaftlichkeitsberechnungen unterstützen die Entscheidung, ob und wie ein Projekt umgesetzt wird.",Prüfung wirtschaftlicher und technischer Realisierbarkeit,Bewertung der Umweltverträglichkeit und strategischen Passung,Kosten-Nutzen-Analyse oder Nutzwert-Analyse als Bewertungsverfahren,Verzicht auf jede Prüfung vor Projektstart,A|B|C
Folgende Qualitätsmerkmale können laut Folien bei Projektergebnissen relevant sein:,multiple_choice,Skript 2,easy,"Die Folien nennen unter anderem Fehlerfreiheit, Robustheit, Zuverlässigkeit, Lebensdauer, Funktionsumfang und Kundenzufriedenheit.",Fehlerfreiheit,Zuverlässigkeit,Kundenzufriedenheit,Zufällige Zieländerung ohne Abstimmung,A|B|C
Folgende Kreativitätstechniken werden in den Folien genannt:,multiple_choice,Skript 2,easy,"Genannt werden Brainstorming, Brainwriting/635, Mind Mapping, Morphologischer Kasten und Design Thinking.",Brainstorming,Brainwriting beziehungsweise 635-Methode,Morphologischer Kasten,Unstrukturierte Abschlussabnahme als Kreativitätstechnik,A|B|C
Folgende Rahmenbedingungen unterstützen Kreativitätstechniken im Projekt:,multiple_choice,Skript 2,medium,"Die Folien nennen klare Aufgabenstellung, ungezwungene Atmosphäre, Perspektivenvielfalt und offene Kultur.",Klare Aufgabenstellung und Zielstellung,Ungezwungene Arbeitsatmosphäre,Verschiedene Perspektiven,Strikte Vermeidung jeder abweichenden Meinung,A|B|C
Folgende Aussagen zum Projektauftrag sind korrekt:,multiple_choice,Skript 2,hard,"Der Projektauftrag genehmigt das Projekt formell, enthält zentrale Projektdaten und muss bei Änderungen abgestimmt angepasst werden.",Er genehmigt die Existenz des Projektes formell,Er kann dem Projektmanager Befugnis zum Ressourceneinsatz geben,"Er enthält wichtige Projektdaten wie Ergebnisse, Kosten und Termine",Er bleibt bei geänderten Parametern immer unverändert,A|B|C
Folgende Aussagen unterscheiden Lastenheft und Pflichtenheft korrekt:,multiple_choice,Skript 2,hard,Das Lastenheft beschreibt WAS und WOFÜR aus Auftraggebersicht; das Pflichtenheft beschreibt WIE und WOMIT der Umsetzung.,Das Lastenheft definiert das WAS und WOFÜR,Das Pflichtenheft definiert das WIE und WOMIT,Das Pflichtenheft beschreibt die Umsetzung der Anforderungen,Das Lastenheft ist zwingend eine reine Kostenabrechnung nach Projektende,A|B|C
Folgende zwei Inhalte hat der Begriff Organisation laut Folien:,multiple_choice,Skript 3,easy,Organisation meint sowohl das Herstellen organisatorischer Regelungen als auch das Ergebnis als Regelungssystem.,Organisation als Tätigkeit,Organisation als Ergebnis,Ein System verbindlicher Regelungen,Ausschließlich informelle Absprachen ohne Verbindlichkeit,A|B|C
Folgende Aufgaben hat Projektorganisation laut Folien:,multiple_choice,Skript 3,medium,Projektorganisation umfasst extern die Eingliederung in die Unternehmensorganisation und intern die Organisation des Projektes.,Externe Eingliederung des Projektes in die Unternehmensorganisation,Interne Organisation des Projektes,Verknüpfung von Projekt und Unternehmensorganisation,Ausschließliche Erstellung der Schlussrechnung,A|B|C
Folgende Projektbeteiligten werden in der Grunddarstellung der Folien sichtbar:,multiple_choice,Skript 3,easy,"Die Folien zeigen Auftraggeber/Unternehmensleitung, Projektleiter, Projektteam und Lenkungsausschuss.",Auftraggeber beziehungsweise Unternehmensleitung,Projektleiter,Projektmitarbeiter beziehungsweise Projektteam,Lenkungsausschuss,A|B|C|D
Folgende Aufgaben und Funktionen hat der Lenkungsausschuss:,multiple_choice,Skript 3,medium,Der Lenkungsausschuss überwacht als Kontroll- und Entscheidungsgremium die Projektdurchführung.,Überwachung der Projektdurchführung,Kontroll- und Entscheidungsgremium,"Betreuung durch Beratung, Koordination oder Controlling",Ausschließliche operative Bearbeitung aller Arbeitspakete,A|B|C
Folgende Aussagen zur Besetzung des Lenkungsausschusses sind korrekt:,multiple_choice,Skript 3,medium,Bei wichtigen Projekten sind Leitungsebene und beteiligte Abteilungen relevant; bei externen Projekten kann der Auftraggeber beratend vertreten sein.,Bei unternehmenskritischen Projekten sind häufig Mitglieder der Leitungsebene vertreten,Bei internen Projekten sind meist Vertreter beteiligter Abteilungen vertreten,Bei externen Projekten sollte der Auftraggeber beratend vertreten sein,Der Lenkungsausschuss besteht zwingend nur aus externen Lieferanten,A|B|C
Folgende Merkmale der Stabs- beziehungsweise Einfluss-Projektorganisation sind korrekt:,multiple_choice,Skript 3,medium,In der Stabs-Projektorganisation verfügt die Projektleitung weder fachlich noch disziplinarisch über Weisungsbefugnis.,Der Projektleiter hat keine fachliche Weisungsbefugnis,Der Projektleiter hat keine disziplinarische Weisungsbefugnis,Projektmitarbeiter verbleiben in ihren Abteilungen,Der Projektleiter ist vollständiger disziplinarischer Vorgesetzter aller Projektmitglieder,A|B|C
Folgende Vorteile hat die Stabs-Projektorganisation:,multiple_choice,Skript 3,easy,"Die bestehende Organisation bleibt erhalten, die Projektorganisation ist schnell einrichtbar und Mitarbeitende bleiben fachlich eingebunden.",Die Organisation wird nicht verändert,Sie kann schnell eingerichtet und aufgelöst werden,Projektmitarbeiter bleiben in ihren Abteilungen fachlich eingebunden,Sie garantiert automatisch konfliktfreie Durchsetzung aller Maßnahmen,A|B|C
Folgende Nachteile der Stabs-Projektorganisation werden genannt:,multiple_choice,Skript 3,medium,"Nachteile sind fehlende Weisungsbefugnis, hoher Koordinationsaufwand und Interessenkonflikte mit der Linie.",Keine Weisungsbefugnis,Aufwendige Abstimmung und Koordination,Maßnahmen sind wegen Linieninteressen schwer durchzusetzen,Geringer Kommunikationsbedarf durch vollständige Autonomie,A|B|C
