question_text,question_type,topic,difficulty,explanation,option_a,option_b,option_c,option_d,correct_answers
Folgende Kreativitätstechniken werden in den Folien genannt:,multiple_choice,Skript 2,easy,"Genannt werden Brainstorming, Brainwriting/635, Mind Mapping, Morphologischer Kasten und Design Thinking.",Brainstorming,Brainwriting beziehungsweise 635-Methode,Morphologischer Kasten,Unstrukturierte Abschlussabnahme als Kreativitätstechnik,A|B|C
Folgende Rahmenbedingungen unterstützen Kreativitätstechniken im Projekt:,multiple_choice,Skript 2,medium,"Die Folien nennen klare Aufgabenstellung, ungezwungene Atmosphäre, Perspektivenvielfalt und offene Kultur.",Klare Aufgabenstellung und Zielstellung,Ungezwungene Arbeitsatmosphäre,Verschiedene Perspektiven,Strikte Vermeidung jeder abweichenden Meinung,A|B|C
Folgende Aussagen zum Projektauftrag sind korrekt:,multiple_choice,Skript 2,hard,"Der Projektauftrag genehmigt das Projekt formell, enthält zentrale Projektdaten und muss bei Änderungen abgestimmt angepasst werden.",Er genehmigt die Existenz des Projektes formell,Er kann dem Projektmanager Befugnis zum Ressourceneinsatz geben,"Er enthält wichtige Projektdaten wie Ergebnisse, Kosten und Termine",Er bleibt bei geänderten Parametern immer unverändert,A|B|C
Folgende Aussagen unterscheiden Lastenheft und Pflichtenheft korrekt:,multiple_choice,Skript 2,hard,Das Lastenheft beschreibt WAS und WOFÜR aus Auftraggebersicht; das Pflichtenheft beschreibt WIE und WOMIT der Umsetzung.,Das Lastenheft definiert das WAS und WOFÜR,Das Pflichtenheft definiert das WIE und WOMIT,Das Pflichtenheft beschreibt die Umsetzung der Anforderungen,Das Lastenheft ist zwingend eine reine Kostenabrechnung nach Projektende,A|B|C
Folgende zwei Inhalte hat der Begriff Organisation laut Folien:,multiple_choice,Skript 3,easy,Organisation meint sowohl das Herstellen organisatorischer Regelungen als auch das Ergebnis als Regelungssystem.,Organisation als Tätigkeit,Organisation als Ergebnis,Ein System verbindlicher Regelungen,Ausschließlich informelle Absprachen ohne Verbindlichkeit,A|B|C
Folgende Aufgaben hat Projektorganisation laut Folien:,multiple_choice,Skript 3,medium,Projektorganisation umfasst extern die Eingliederung in die Unternehmensorganisation und intern die Organisation des Projektes.,Externe Eingliederung des Projektes in die Unternehmensorganisation,Interne Organisation des Projektes,Verknüpfung von Projekt und Unternehmensorganisation,Ausschließliche Erstellung der Schlussrechnung,A|B|C
Folgende Projektbeteiligten werden in der Grunddarstellung der Folien sichtbar:,multiple_choice,Skript 3,easy,"Die Folien zeigen Auftraggeber/Unternehmensleitung, Projektleiter, Projektteam und Lenkungsausschuss.",Auftraggeber beziehungsweise Unternehmensleitung,Projektleiter,Projektmitarbeiter beziehungsweise Projektteam,Lenkungsausschuss,A|B|C|D
Folgende Aufgaben und Funktionen hat der Lenkungsausschuss:,multiple_choice,Skript 3,medium,Der Lenkungsausschuss überwacht als Kontroll- und Entscheidungsgremium die Projektdurchführung.,Überwachung der Projektdurchführung,Kontroll- und Entscheidungsgremium,"Betreuung durch Beratung, Koordination oder Controlling",Ausschließliche operative Bearbeitung aller Arbeitspakete,A|B|C
Folgende Aussagen zur Besetzung des Lenkungsausschusses sind korrekt:,multiple_choice,Skript 3,medium,Bei wichtigen Projekten sind Leitungsebene und beteiligte Abteilungen relevant; bei externen Projekten kann der Auftraggeber beratend vertreten sein.,Bei unternehmenskritischen Projekten sind häufig Mitglieder der Leitungsebene vertreten,Bei internen Projekten sind meist Vertreter beteiligter Abteilungen vertreten,Bei externen Projekten sollte der Auftraggeber beratend vertreten sein,Der Lenkungsausschuss besteht zwingend nur aus externen Lieferanten,A|B|C
Folgende Merkmale der Stabs- beziehungsweise Einfluss-Projektorganisation sind korrekt:,multiple_choice,Skript 3,medium,In der Stabs-Projektorganisation verfügt die Projektleitung weder fachlich noch disziplinarisch über Weisungsbefugnis.,Der Projektleiter hat keine fachliche Weisungsbefugnis,Der Projektleiter hat keine disziplinarische Weisungsbefugnis,Projektmitarbeiter verbleiben in ihren Abteilungen,Der Projektleiter ist vollständiger disziplinarischer Vorgesetzter aller Projektmitglieder,A|B|C
Folgende Vorteile hat die Stabs-Projektorganisation:,multiple_choice,Skript 3,easy,"Die bestehende Organisation bleibt erhalten, die Projektorganisation ist schnell einrichtbar und Mitarbeitende bleiben fachlich eingebunden.",Die Organisation wird nicht verändert,Sie kann schnell eingerichtet und aufgelöst werden,Projektmitarbeiter bleiben in ihren Abteilungen fachlich eingebunden,Sie garantiert automatisch konfliktfreie Durchsetzung aller Maßnahmen,A|B|C
Folgende Nachteile der Stabs-Projektorganisation werden genannt:,multiple_choice,Skript 3,medium,"Nachteile sind fehlende Weisungsbefugnis, hoher Koordinationsaufwand und Interessenkonflikte mit der Linie.",Keine Weisungsbefugnis,Aufwendige Abstimmung und Koordination,Maßnahmen sind wegen Linieninteressen schwer durchzusetzen,Geringer Kommunikationsbedarf durch vollständige Autonomie,A|B|C
Folgende Merkmale der Matrix-Projektorganisation sind korrekt:,multiple_choice,Skript 3,medium,"In der Matrix bleibt die Linie disziplinarisch zuständig, während die Projektleitung fachliche Projektanweisungen gibt.",Der Linienmanager bleibt disziplinarischer Vorgesetzter,Der Projektleiter wird fachlicher Vorgesetzter,Befugnisse sind zwischen Linie und Projekt geteilt,Die Projektmitarbeiter verlassen dauerhaft jede Fachabteilung,A|B|C
Folgende Vorteile der Matrix-Projektorganisation werden in den Folien genannt:,multiple_choice,Skript 3,medium,"Die Matrix ermöglicht Auslastungssteuerung, Wissensaustausch, flexible Nutzung von Spezialwissen und abteilungsübergreifende Zusammenarbeit.",Gute Auslastungssteuerung,Guter Wissensaustausch,Flexible Nutzung von Spezialwissen,Vollständiger Wegfall von Konfliktpotenzial,A|B|C
Folgende Nachteile der Matrix-Projektorganisation sind relevant:,multiple_choice,Skript 3,medium,Die Matrix kann Überlastung und Konflikte durch geteilte Befugnisse und Verantwortlichkeiten erzeugen.,Gefahr der Überlastung durch Linie und Projekt,Konfliktpotenzial durch geteilte Befugnisse,Konfliktpotenzial durch geteilte Verantwortlichkeiten,Keine Notwendigkeit zur Abstimmung mit der Linie,A|B|C
Folgende Merkmale der autonomen beziehungsweise reinen Projektorganisation sind korrekt:,multiple_choice,Skript 3,medium,Bei der autonomen Projektorganisation sind Mitarbeitende fachlich und disziplinarisch der Projektleitung unterstellt.,Mitarbeiter sind fachlich dem Projektleiter unterstellt,Mitarbeiter sind disziplinarisch dem Projektleiter unterstellt,Sie eignet sich für große oder extrem zeitkritische Projekte,Sie ist grundsätzlich nur für kleine nicht-kritische Projekte vorgesehen,A|B|C
Folgende Vorteile hat die autonome Projektorganisation:,multiple_choice,Skript 3,easy,"Vorteile sind klare Befugnisse, geringeres Konfliktpotenzial, hohe Identifikation und direkte Kommunikation.",Klare Befugnisse und Verantwortlichkeiten,Geringes Konfliktpotenzial,Hohe Identifikation mit dem Projekt,Schwieriger Wissensaustausch mit der Linie als Vorteil,A|B|C
Folgende Nachteile der autonomen Projektorganisation werden genannt:,multiple_choice,Skript 3,medium,"Nachteile können hoher Einrichtungs- und Auflösungsaufwand, schwierige Auslastung und erschwerter Wissensaustausch mit der Linie sein.",Aufwendig bei Einrichtung und Auflösung,Auslastungssteuerung kann schwierig sein,Wissensaustausch mit der Linie kann schwierig sein,Keine klare Verantwortung im Projekt,A|B|C
Folgende Kompetenzen beziehungsweise Fähigkeiten sollte ein Projektleiter besitzen:,multiple_choice,Skript 3,easy,"Die Folien nennen Methoden-, Fach-, Sozial-, persönliche und Organisationskompetenz.",Methodenkompetenz,Fachkompetenz,Sozialkompetenz,Organisationskompetenz,A|B|C|D
Folgende Aufgaben und Verantwortungen gehören zur Projektleitung:,multiple_choice,Skript 3,medium,"Projektleitung umfasst Planen, Steuern, Führen, Kommunizieren sowie Verantwortung für Ziele, Budget und Vertragserfüllung.","Planen, Steuern und Führen",Kommunizieren und Informieren,Erreichen der Projektziele und Budgeteinhaltung,Verzicht auf Entscheidungen in Planung und Durchführung,A|B|C
Folgende Aussagen zur Teamzusammenstellung sind korrekt:,multiple_choice,Skript 3,medium,"Fachkompetenz, Abteilungszugehörigkeit, ausgewogene Zusammensetzung und klare Aufgaben sind wichtige Kriterien.",Fachkompetenz ist wichtig,Fachliche und soziale Kompetenzen sollten ausgewogen sein,"Aufgaben, Verantwortung und Befugnisse müssen früh geklärt werden",Zuständigkeiten sollten bewusst bis zum Projektende offen bleiben,A|B|C
Folgende Aussagen zu Arbeitspaketen und Arbeitsaufträgen im Team sind korrekt:,multiple_choice,Skript 3,medium,"Der PSP definiert Arbeitspakete, die eindeutig zugeordnet werden und Zielvereinbarungen enthalten.",Arbeitspakete werden im PSP definiert,Arbeitspakete werden Arbeitspaketleitern oder Projektmitarbeitern zugeordnet,Arbeitsaufträge enthalten Zielvereinbarungen,Arbeitspaketverantwortliche übernehmen keinerlei Verantwortung,A|B|C
Folgende Aussagen zum Stakeholder-Begriff sind korrekt:,multiple_choice,Skript 3,medium,Stakeholder haben Interesse am Projekt oder sind betroffen; sie können Personen oder Gruppen sein.,Stakeholder können Personen oder Personengruppen sein,Stakeholder haben ein Interesse oder sind betroffen,"Kunden, Mitarbeitende, Lieferanten oder Aktionäre können Stakeholder sein",Stakeholder sind ausschließlich Mitglieder des Projektteams,A|B|C
Folgende Ziele verfolgt die Stakeholder-Analyse:,multiple_choice,Skript 3,medium,"Die Stakeholder-Analyse soll Einfluss, Betroffenheit, Unterstützung, Herausforderungen und kritische Stakeholder sichtbar machen.",Projektkritische Stakeholder herausfiltern,Einflussstarke Stakeholder erkennen,Unterstützer und herausfordernde Stakeholder unterscheiden,Alle Stakeholder grundsätzlich ignorieren,A|B|C
Folgende Quadranten der Stakeholder-Matrix sind korrekt beschrieben:,multiple_choice,Skript 3,hard,Die Matrix unterscheidet Einfluss und Interesse und leitet passende Maßnahmen ab.,Viel Einfluss und großes Interesse: Schlüsselfiguren eng begleiten,Viel Einfluss und geringes Interesse: zufriedenstellen,Wenig Einfluss und großes Interesse: informieren,Wenig Einfluss und geringes Interesse: intensive tägliche Abstimmung als Schlüsselfigur,A|B|C
Folgende Stakeholder-Maßnahmen werden in den Folien genannt:,multiple_choice,Skript 3,easy,"Genannt werden Kommunikationsplan, Projektmarketing, Informationsveranstaltungen, Workshops und Meilenstein-Aktivitäten.",Kommunikationsplan,Gezielte Projektmarketing-Maßnahmen,Workshops mit Betroffenen,Bewusster Ausschluss kritischer Stakeholder ohne Analyse,A|B|C
Folgende Aussagen zum Risikobegriff im Projektmanagement sind korrekt:,multiple_choice,Skript 3,hard,Risiken sind unsichere Ereignisse; nach PMI können darunter sowohl Bedrohungen als auch Chancen fallen.,Risiken sind Ereignisse mit unsicherem Eintritt,Risiken können auch Chancen umfassen,Projekte bringen aufgrund ihrer Einmaligkeit Risiken mit sich,Risiko meint ausschließlich bereits eingetretene sichere Schäden,A|B|C
Folgende Schritte umfasst der Risikomanagement-Prozess laut Folien:,multiple_choice,Skript 3,easy,"Der Prozess umfasst Risiken identifizieren, analysieren, behandeln und kontrollieren.",Risiken identifizieren,Risiko-Analyse,Risiko-Behandlung beziehungsweise Mitigation,Risiko-Kontrolle,A|B|C|D
Folgende Fragen gehören zur Risikoanalyse:,multiple_choice,Skript 3,medium,Die Analyse bewertet Eintrittswahrscheinlichkeit und Auswirkungen auf das Projekt.,Wie hoch ist die Eintrittswahrscheinlichkeit?,Welche Auswirkungen hätte der Eintritt auf das Projekt?,Welche Maßnahmen sind für den Eintrittsfall vorzubereiten?,Wie kann das Risiko ohne Analyse aus der Dokumentation gelöscht werden?,A|B|C
Folgende Aussagen zur Projektkommunikation sind korrekt:,multiple_choice,Skript 3,medium,"Interne Kommunikation klärt Informationsflüsse, Meetings und Regeln; externe Kommunikation richtet sich an Auftraggeber, Leitung und Stakeholder.","Es ist zu klären, wer wen wann wie worüber informiert",Teammeetings müssen geplant werden,"Externe Kommunikation kann Auftraggeber, Unternehmensleitung, Lenkungsausschuss und Stakeholder betreffen",Kommunikationsbeziehungen sinken bei mehr Beteiligten automatisch,A|B|C
Folgende Elemente können zur Projektdokumentation und Berichtsplanung gehören:,multiple_choice,Skript 3,medium,"Zu planen sind Dokumentationsstruktur, Ablage, Ergebnisfesthaltung und zielgruppenorientierte Berichte.","Festlegen, was wie von wem dokumentiert wird",Struktur und elektronische Ablage planen,Zielgruppenorientierte Berichte wie Dashboard oder Projektstatusbericht planen,Dokumentation erst nach Projektabschluss zufällig sammeln,A|B|C
Folgende Aussagen unterscheiden Projektstart-Workshop und Kickoff-Meeting korrekt:,multiple_choice,Skript 3,hard,Der Projektstart-Workshop ist eher teamintern und arbeitsorientiert; das Kickoff-Meeting ist formeller und bezieht weitere Beteiligte ein.,Der Projektstart-Workshop ist vorwiegend projektteam-intern,Der Projektstart-Workshop ist ein echtes Arbeitsmeeting,Das Kickoff-Meeting bezieht weitere Projektbeteiligte ein und ist formeller,Bei großen Projekten sind beide Veranstaltungen zwingend immer identisch,A|B|C
Folgende Aufgaben sollte die Projektleitung vor Zusammenstellung des Projektteams bearbeiten:,multiple_choice,Skript 4,medium,"Vor Teamzusammenstellung sollen eigene Ziele, Mission und Erwartungen an Teamperformance geklärt werden.",Eigene Ziele festlegen,Eine attraktive Mission für das Veränderungsvorhaben entwickeln,Nachvollziehbare Ziele und Erwartungen an das Team formulieren,Alle Rollen erst nach Projektabschluss definieren,A|B|C
Folgende Aufgaben gehören zur Einführung des Projektteams:,multiple_choice,Skript 4,medium,"Beim Teamstart sollen persönliche Ziele, Rollen, Erwartungen, Regeln, Kommunikation und Lösungsansätze gemeinsam geklärt werden.",Persönliche Ziele mit Teammitgliedern herausarbeiten,"Rollen, Aufgaben und Erwartungen beschreiben",Regeln der Zusammenarbeit sowie Informations- und Kommunikationsprozesse etablieren,Kommunikation bewusst unstrukturiert lassen,A|B|C
Folgende Führungsaufgaben sind mitten im Projekt relevant:,multiple_choice,Skript 4,medium,"In der Projektmitte werden Vorgehensweisen reflektiert, überarbeitet und Rollen mit Erwartungen abgeglichen.",Vorgehensweisen und Lösungsansätze mit Blick auf Wirkungen reflektieren,Vorgehensweisen auf Basis der Analyse überarbeiten,Rollen und Aufgaben mit Erwartungen abgleichen,Planungssicherheit für Teammitglieder vermeiden,A|B|C
Folgende Aufgaben gehören zum Ende eines Projektes aus Führungssicht:,multiple_choice,Skript 4,medium,"Zum Ende sind Prioritäten, Ergebnis-Kommunikation, Reflexion und Würdigung von Erfolgen relevant.",Prioritäten für restliche Aufgaben setzen,Kommunikationswege für Projektergebnisse identifizieren,Prozess- und Ergebnisqualität gemeinsam reflektieren,Erfolge grundsätzlich nicht mit Auftraggebern teilen,A|B|C
Folgende Aussagen zum Schutz der Teammitglieder passen zu den Folien:,multiple_choice,Skript 4,medium,"Projektleitung soll wertschätzend führen, Überforderung vermeiden und Stabilität, Sicherheit und Orientierung geben.",Wertschätzenden Umgang pflegen,Vor Ausbrennen und Überforderung schützen,"Stabilität, Sicherheit, Klarheit und Orientierung geben",Unterforderung kann niemals ein Problem sein,A|B|C
Folgende Eigenschaften sollte eine Projektleitung in einem veränderlichen Umfeld zeigen:,multiple_choice,Skript 4,medium,"Die Folien betonen Orientierung, Geduld, Reflexion, Flexibilität und Purpose-Vermittlung.",Entwicklungsziele geduldig begleiten,Reflektierenden Stil bei Problembesprechungen pflegen,Flexibel in Denken und Handeln sein,Den Purpose vor Projektmitgliedern verbergen,A|B|C
Folgende Tipps zur Führung von Projektteams werden genannt:,multiple_choice,Skript 4,easy,"Die Folien nennen Team motivieren, offene Zusammenarbeit, Einbindung und spezifisches Lob.",Das Team motivieren,Offene und ehrliche Zusammenarbeit fördern,Projektmitarbeiter einbinden,Lob grundsätzlich vermeiden,A|B|C
Folgende Aussagen zur Rolle der Projektleitung im Team passen zu den Folien:,multiple_choice,Skript 4,hard,"Projektleitung ist häufig nicht formaler Chef, sondern Koordinator von Experten und sollte eher delegieren als bestimmen.",Projektleiter sind oft eher Koordinatoren von Experten,Projektmitglieder sollen in Planung und Durchführung ihrer Aufgaben eingebunden werden,Delegieren ist wichtiger als bloßes Bestimmen,Projektleitung sollte jede Detailaufgabe selbst ausführen,A|B|C
Folgende Verhaltensweisen unterstützen eine offene Zusammenarbeit im Projektteam:,multiple_choice,Skript 4,medium,"Die Folien nennen Probleme offen ansprechen, andere Meinungen akzeptieren, viel kommunizieren und Beteiligung an Entscheidungen.",Probleme nicht unter den Tisch kehren,Andere Meinungen akzeptieren,Team in Planungen und Entscheidungen einbinden,"Kritische Informationen zurückhalten, um Konflikte zu vermeiden",A|B|C
"Spezifisches Lob im Projektteam kann sinnvoll sein, weil:",multiple_choice,Skript 4,medium,Spezifische Anerkennung stärkt Zusammenarbeit und erleichtert später auch kritisches Feedback.,Es würdigt konkret gute Tätigkeiten,Es kann Anerkennung und Motivation fördern,Es kann kritisches Feedback erleichtern,Es ersetzt jede fachliche Klärung von Aufgaben,A|B|C
Folgende Aussagen zur Führung in Projekten sind fachlich richtig:,multiple_choice,Skript 4,hard,Führung in Projekten unterscheidet sich von Linienführung und erfordert neben Methoden auch Kommunikations- und Führungskompetenz.,Führen in Projekten unterscheidet sich von Führung in der Linienorganisation,Projektleiter benötigen neben PM-Methoden auch Führungskompetenzen,Kommunikation und Orientierung sind wesentliche Führungsaufgaben,Projektführung besteht ausschließlich aus Terminplanpflege,A|B|C
"Folgende Maßnahmen helfen, Planungssicherheit für Projektteammitglieder herzustellen:",multiple_choice,Skript 4,hard,"Planungssicherheit entsteht durch Rollenklärung, Erwartungsabgleich, Reflexion der Vorgehensweise und nachvollziehbare Kommunikation.",Rollen und Aufgaben mit Erwartungen abgleichen,Vorgehensweisen und Lösungsansätze reflektieren,Informations- und Kommunikationsprozesse etablieren,Alle Erwartungen implizit und unausgesprochen lassen,A|B|C
Folgende Aussagen unterscheiden operatives und strategisches Projektmanagement korrekt:,multiple_choice,Skript 5,medium,Operatives PM steuert ein konkretes Projekt; strategisches PM steuert das Projektportfolio nach Unternehmensstrategie.,Operatives PM ist Führung und Steuerung eines konkreten Projektes,Strategisches PM steuert das unternehmensinterne Projektportfolio,Strategisches PM orientiert sich an strategischen Vorgaben,Operatives PM ersetzt alle Portfolioentscheidungen vollständig,A|B|C
Folgende Inhalte gehören zum operativen Projektmanagement:,multiple_choice,Skript 5,medium,"Operatives PM umfasst Initiierung, Planung, Steuerung, Überwachung, Abschluss und den Umgang mit Komplexität im konkreten Projekt.","Initiierung, Planung, Steuerung und Überwachung",Abschluss von Projekten,Umgang mit Komplexität und Teamarbeit,Auswahl aller Projekte eines Konzerns ohne Bezug zum Einzelprojekt,A|B|C
Folgende Aussagen zum strategischen Projektmanagement sind korrekt:,multiple_choice,Skript 5,medium,"Strategisches PM betrachtet Projekte als Organisationsform, Instrument zur Strategieumsetzung und Portfolio-/Multiprojektmanagement.",PM als ergänzende Organisationsform,PM als Instrument zur Strategieumsetzung,Projektportfolio- beziehungsweise Multiprojektmanagement,Ausschließlich Tagessteuerung eines einzelnen Arbeitspakets,A|B|C
Folgende Kriterien sind für die Aufnahme eines Projekts ins Portfolio relevant:,multiple_choice,Skript 5,medium,"Strategische Zielwirkung, Mehrwert, Ausrichtung, Dringlichkeit, Kapazitäten, Risiken und Informationen sind zu prüfen.",Beitrag zu Unternehmenszielen,Mehrwert für strategische Unternehmensziele,"Verfügbarkeit finanzieller, personeller und materieller Kapazitäten",Reines Bauchgefühl ohne Informationen,A|B|C
Folgende Fragen gehören zur strategischen Bewertung eines Projekts:,multiple_choice,Skript 5,hard,"Strategische Projektbewertung fragt nach strategischer Ausrichtung, Dringlichkeit, Risiken und Informationsverfügbarkeit.",Welches Ausmaß hat die strategische Ausrichtung?,Welche Dringlichkeit hat das Projekt?,Wie sind Art und Höhe der Projektrisiken?,Welche Farbe hat das Projektlogo als einziges Entscheidungskriterium?,A|B|C
Folgende Aussagen zum strategischen Projektmanagement als Steuerungsinstrument stimmen:,multiple_choice,Skript 5,hard,"Strategisches PM priorisiert aussichtsreiche Projekte, verschiebt oder verwirft andere und steuert das Portfolio mit Regeln und Prozessen.",Es priorisiert aussichtsreiche Projekte,Es kann andere Projekte verschieben oder verwerfen,"Es nutzt verbindliche Strukturen, Regeln und Prozesse",Es vermeidet jede Verbindung zu Unternehmenszielen,A|B|C
Folgende Aussagen zeigen die Verbindung von operativem und strategischem PM korrekt:,multiple_choice,Skript 5,hard,Die Folien beschreiben beide als zwei Seiten einer Medaille: Einzelprojektsteuerung und übergeordnete Portfoliosteuerung greifen zusammen.,Operatives PM fokussiert konkrete Projektumsetzung,Strategisches PM fokussiert Portfolioausrichtung,Beide Perspektiven ergänzen sich,Strategisches PM macht operatives PM im Einzelprojekt überflüssig,A|B|C
Folgende Elemente gehören zur Etablierung einer professionellen PM-Kultur:,multiple_choice,Skript 5,medium,"Strategisches PM nennt projektorientiertes Unternehmen, professionelle PM-Kultur und verbindliche Portfolio-Prozesse.",Projektorientiertes Unternehmen,Projektportfolio- beziehungsweise Multiprojektmanagement,Professionelle PM-Kultur,Rein zufällige Projektauswahl ohne Regeln,A|B|C
